# ===== Aggregated and Sorted Prefixes =====
# Overall unique blocked IPs -> IPv4: 37,857,536 ; IPv6: 0
# Total output prefixes: 2623
#
38.211.80.0/20  
81.92.200.0/22  
# --- ISP: 16 COLLYER QUAY # 18-29 INCOME AT RAFFLES | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
101.33.12.0/22       # 16 COLLYER QUAY # 18-29 INCOME AT RAFFLES
104.164.171.0/24     # code200, UAB
104.164.172.0/24     # code200, UAB
104.165.13.0/24      # code200, UAB
104.165.20.0/24      # code200, UAB

# --- ISP: Code200, UAB | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
140.99.121.0/24      # Code200, UAB

# --- ISP: Codein Systems | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
104.252.150.0/24     # Codein Systems

# --- ISP: Cogent Communications | prefixes: 23 | IPv4 addrs: 512,000 | IPv6 addrs: 0 ---
64.4.192.0/19        # Cogent Communications
64.17.48.0/20        # Cogent Communications
64.202.0.0/19        # Cogent Communications
64.254.192.0/19      # Cogent Communications
66.28.0.0/16         # Cogent Communications
66.71.224.0/20       # Cogent Communications
66.102.96.0/19       # Cogent Communications
66.132.0.0/17        # Cogent Communications
66.250.0.0/16        # Cogent Communications
206.183.224.0/19     # Cogent Communications
207.152.0.0/18       # Cogent Communications
207.230.0.0/19       # Cogent Communications
207.234.0.0/17       # Cogent Communications
207.254.144.0/20     # Cogent Communications
209.17.96.0/20       # Cogent Communications
209.41.192.0/18      # Cogent Communications
209.115.0.0/17       # Cogent Communications
209.146.0.0/17       # Cogent Communications
216.28.0.0/15        # Cogent Communications
216.55.80.0/20       # Cogent Communications
216.168.64.0/20      # Cogent Communications
216.177.96.0/19      # Cogent Communications
216.229.128.0/20     # Cogent Communications

# --- ISP: Cogent Communications - IPENG | prefixes: 20 | IPv4 addrs: 345,088 | IPv6 addrs: 0 ---
38.76.160.0/19       # Cogent Communications - IPENG
38.86.248.0/21       # Cogent Communications - IPENG
38.158.192.0/21      # Cogent Communications - IPENG
38.189.32.0/19       # Cogent Communications - IPENG
38.255.128.0/17      # Cogent Communications - IPENG
130.117.172.0/22     # Cogent Communications - IPENG
154.3.0.0/21         # Cogent Communications - IPENG
154.3.8.0/22         # Cogent Communications - IPENG
154.9.204.0/22       # Cogent Communications - IPENG
154.13.28.0/22       # Cogent Communications - IPENG
154.17.76.0/22       # Cogent Communications - IPENG
154.22.100.0/22      # Cogent Communications - IPENG
154.45.52.0/22       # Cogent Communications - IPENG
154.48.156.0/22      # Cogent Communications - IPENG
154.51.28.0/22       # Cogent Communications - IPENG
204.157.136.0/21     # Cogent Communications - IPENG
205.164.64.0/18      # Cogent Communications - IPENG
206.2.0.0/16         # Cogent Communications - IPENG
206.236.0.0/15       # Cogent Communications - IPENG
206.249.0.0/16       # Cogent Communications - IPENG

# --- ISP: Cogent Communications Belgium BVBA | prefixes: 1 | IPv4 addrs: 4,096 | IPv6 addrs: 0 ---
80.66.128.0/20       # Cogent Communications Belgium BVBA

# --- ISP: Cogent Communications France SAS | prefixes: 2 | IPv4 addrs: 12,288 | IPv6 addrs: 0 ---
85.237.96.0/19       # Cogent Communications France SAS
217.118.224.0/20     # Cogent Communications France SAS

# --- ISP: Cogent Communications Group, Inc. | prefixes: 8 | IPv4 addrs: 102,400 | IPv6 addrs: 0 ---
80.91.64.0/19        # Cogent Communications Group, Inc.
80.245.32.0/19       # Cogent Communications Group, Inc.
81.2.128.0/18        # Cogent Communications Group, Inc.
82.129.0.0/17        # Cogent Communications Group, Inc.
82.138.64.0/18       # Cogent Communications Group, Inc.
212.20.128.0/19      # Cogent Communications Group, Inc.
213.146.160.0/19     # Cogent Communications Group, Inc.
217.71.112.0/20      # Cogent Communications Group, Inc.

# --- ISP: Cogent Communications Italia S.R.L. | prefixes: 1 | IPv4 addrs: 4,096 | IPv6 addrs: 0 ---
217.147.128.0/20     # Cogent Communications Italia S.R.L.

# --- ISP: Cogent Communications Netherlands B.V. | prefixes: 1 | IPv4 addrs: 4,096 | IPv6 addrs: 0 ---
217.149.32.0/20      # Cogent Communications Netherlands B.V.

# --- ISP: coloMX LLC | prefixes: 2 | IPv4 addrs: 1,536 | IPv6 addrs: 0 ---
103.206.20.0/22      # coloMX LLC
182.161.38.0/23      # coloMX LLC

# --- ISP: ColorSoft IT | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
176.107.72.0/21      # ColorSoft IT

# --- ISP: Commercial Properties, LLC | prefixes: 1 | IPv4 addrs: 8,192 | IPv6 addrs: 0 ---
199.67.96.0/19       # Commercial Properties, LLC

# --- ISP: Consolidated Media LLC | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
198.44.136.0/24      # Consolidated Media LLC

# --- ISP: Contract Seven- CF SubCustomer | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
142.111.49.0/24      # Contract Seven- CF SubCustomer

# --- ISP: Core IP Solutions LLC | prefixes: 5 | IPv4 addrs: 5,120 | IPv6 addrs: 0 ---
193.142.132.0/22     # Core IP Solutions LLC
193.228.72.0/22      # Core IP Solutions LLC
194.33.156.0/22      # Core IP Solutions LLC
194.34.128.0/22      # Core IP Solutions LLC
194.110.48.0/22      # Core IP Solutions LLC

# --- ISP: COSMONOVA BROADCAST LLC | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
154.49.0.0/22        # COSMONOVA BROADCAST LLC

# --- ISP: Creative Tech | prefixes: 4 | IPv4 addrs: 4,096 | IPv6 addrs: 0 ---
31.133.24.0/22       # Creative Tech
91.218.252.0/22      # Creative Tech
91.246.184.0/22      # Creative Tech
188.74.212.0/22      # Creative Tech

# --- ISP: Creta, Mirco | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
23.234.65.0/24       # Creta, Mirco

# --- ISP: CSI Digital Inc. | prefixes: 2 | IPv4 addrs: 4,096 | IPv6 addrs: 0 ---
38.129.72.0/21       # CSI Digital Inc.
38.134.24.0/21       # CSI Digital Inc.

# --- ISP: Customer subnet in Latvia | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
213.165.63.0/24      # Customer subnet in Latvia

# --- ISP: Dallas, Texas | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
102.129.212.0/24     # Dallas, Texas

# --- ISP: Dartmouth Capital LLC | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
23.234.78.0/24       # Dartmouth Capital LLC

# --- ISP: DATACAMP | prefixes: 2 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
102.38.199.0/24      # DATACAMP
102.38.204.0/24      # DATACAMP

# --- ISP: Datacamp Limited | prefixes: 153 | IPv4 addrs: 110,848 | IPv6 addrs: 0 ---
37.19.194.0/24       # Datacamp Limited
37.19.196.0/22       # Datacamp Limited
37.19.202.0/23       # Datacamp Limited
37.19.206.0/23       # Datacamp Limited
37.19.208.0/24       # Datacamp Limited
37.19.212.0/22       # Datacamp Limited
37.19.216.0/24       # Datacamp Limited
37.19.218.0/24       # Datacamp Limited
45.134.141.0/24      # Datacamp Limited
45.134.143.0/24      # Datacamp Limited
45.136.152.0/23      # Datacamp Limited
46.151.192.0/22      # Datacamp Limited
46.151.196.0/24      # Datacamp Limited
46.151.198.0/23      # Datacamp Limited
79.127.130.0/24      # Datacamp Limited
79.127.133.0/24      # Datacamp Limited
79.127.137.0/24      # Datacamp Limited
79.127.138.0/24      # Datacamp Limited
79.127.140.0/24      # Datacamp Limited
79.127.143.0/24      # Datacamp Limited
79.127.148.0/24      # Datacamp Limited
79.127.151.0/24      # Datacamp Limited
79.127.152.0/24      # Datacamp Limited
79.127.157.0/24      # Datacamp Limited
79.127.158.0/23      # Datacamp Limited
79.127.161.0/24      # Datacamp Limited
79.127.163.0/24      # Datacamp Limited
79.127.165.0/24      # Datacamp Limited
79.127.166.0/23      # Datacamp Limited
79.127.168.0/24      # Datacamp Limited
79.127.170.0/23      # Datacamp Limited
79.127.172.0/23      # Datacamp Limited
79.127.177.0/24      # Datacamp Limited
79.127.178.0/23      # Datacamp Limited
79.127.188.0/24      # Datacamp Limited
79.127.190.0/23      # Datacamp Limited
79.127.196.0/22      # Datacamp Limited
79.127.200.0/21      # Datacamp Limited
79.127.208.0/20      # Datacamp Limited
79.127.224.0/19      # Datacamp Limited
84.17.34.0/23        # Datacamp Limited
84.17.37.0/24        # Datacamp Limited
84.17.38.0/23        # Datacamp Limited
84.17.40.0/23        # Datacamp Limited
84.17.42.0/24        # Datacamp Limited
84.17.44.0/22        # Datacamp Limited
84.17.48.0/22        # Datacamp Limited
84.17.53.0/24        # Datacamp Limited
84.17.54.0/23        # Datacamp Limited
84.17.58.0/23        # Datacamp Limited
84.17.60.0/23        # Datacamp Limited
84.17.63.0/24        # Datacamp Limited
87.249.129.0/24      # Datacamp Limited
87.249.131.0/24      # Datacamp Limited
87.249.136.0/23      # Datacamp Limited
89.222.96.0/23       # Datacamp Limited
89.222.102.0/24      # Datacamp Limited
89.222.104.0/21      # Datacamp Limited
89.222.113.0/24      # Datacamp Limited
89.222.114.0/23      # Datacamp Limited
89.222.118.0/23      # Datacamp Limited
89.222.120.0/22      # Datacamp Limited
89.222.124.0/23      # Datacamp Limited
89.222.126.0/24      # Datacamp Limited
95.173.192.0/24      # Datacamp Limited
95.173.197.0/24      # Datacamp Limited
95.173.199.0/24      # Datacamp Limited
95.173.204.0/22      # Datacamp Limited
95.173.216.0/24      # Datacamp Limited
95.173.218.0/24      # Datacamp Limited
95.173.220.0/24      # Datacamp Limited
109.61.80.0/20       # Datacamp Limited
121.127.40.0/21      # Datacamp Limited
138.199.2.0/23       # Datacamp Limited
138.199.4.0/22       # Datacamp Limited
138.199.8.0/21       # Datacamp Limited
138.199.16.0/20      # Datacamp Limited
138.199.32.0/19      # Datacamp Limited
143.244.32.0/19      # Datacamp Limited

# --- ISP: DataCamp Limited | prefixes: 2 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
149.22.92.0/23       # DataCamp Limited

# --- ISP: Datacamp Limited | prefixes: 153 | IPv4 addrs: 110,848 | IPv6 addrs: 0 ---
149.34.242.0/23      # Datacamp Limited
149.34.254.0/23      # Datacamp Limited
149.40.54.0/23       # Datacamp Limited

# --- ISP: DataCamp Limited | prefixes: 2 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
149.88.106.0/23      # DataCamp Limited

# --- ISP: Datacamp Limited | prefixes: 153 | IPv4 addrs: 110,848 | IPv6 addrs: 0 ---
152.233.6.0/23       # Datacamp Limited
152.233.10.0/23      # Datacamp Limited
152.233.12.0/22      # Datacamp Limited
154.47.18.0/23       # Datacamp Limited
156.146.33.0/24      # Datacamp Limited
156.146.34.0/23      # Datacamp Limited
156.146.36.0/24      # Datacamp Limited
156.146.38.0/24      # Datacamp Limited
156.146.40.0/24      # Datacamp Limited
156.146.42.0/23      # Datacamp Limited
156.146.44.0/24      # Datacamp Limited
156.146.46.0/23      # Datacamp Limited
156.146.49.0/24      # Datacamp Limited
156.146.52.0/23      # Datacamp Limited
156.146.56.0/24      # Datacamp Limited
156.146.58.0/23      # Datacamp Limited
156.146.61.0/24      # Datacamp Limited
169.150.200.0/24     # Datacamp Limited
169.150.202.0/24     # Datacamp Limited
169.150.206.0/23     # Datacamp Limited
169.150.210.0/23     # Datacamp Limited
169.150.213.0/24     # Datacamp Limited
169.150.214.0/23     # Datacamp Limited
169.150.216.0/23     # Datacamp Limited
169.150.219.0/24     # Datacamp Limited
169.150.220.0/22     # Datacamp Limited
169.150.224.0/22     # Datacamp Limited
169.150.228.0/23     # Datacamp Limited
169.150.230.0/24     # Datacamp Limited
169.150.234.0/23     # Datacamp Limited
169.150.236.0/22     # Datacamp Limited
169.150.240.0/24     # Datacamp Limited
169.150.242.0/23     # Datacamp Limited
169.150.244.0/22     # Datacamp Limited
169.150.249.0/24     # Datacamp Limited
169.150.250.0/23     # Datacamp Limited
169.150.252.0/23     # Datacamp Limited
169.150.255.0/24     # Datacamp Limited
178.249.208.0/24     # Datacamp Limited
178.249.210.0/24     # Datacamp Limited
178.249.213.0/24     # Datacamp Limited
185.24.8.0/23        # Datacamp Limited
185.24.10.0/24       # Datacamp Limited
185.59.223.0/24      # Datacamp Limited
185.76.8.0/24        # Datacamp Limited
185.76.11.0/24       # Datacamp Limited
185.111.108.0/24     # Datacamp Limited
185.152.64.0/23      # Datacamp Limited
185.152.67.0/24      # Datacamp Limited
185.156.44.0/24      # Datacamp Limited
185.156.47.0/24      # Datacamp Limited
185.180.13.0/24      # Datacamp Limited
185.229.188.0/22     # Datacamp Limited
185.246.210.0/24     # Datacamp Limited
195.181.162.0/23     # Datacamp Limited
195.181.164.0/23     # Datacamp Limited
195.181.168.0/21     # Datacamp Limited
207.211.208.0/21     # Datacamp Limited
212.102.32.0/23      # Datacamp Limited
212.102.34.0/24      # Datacamp Limited
212.102.36.0/24      # Datacamp Limited
212.102.38.0/24      # Datacamp Limited
212.102.40.0/22      # Datacamp Limited
212.102.44.0/23      # Datacamp Limited
212.102.46.0/24      # Datacamp Limited
212.102.48.0/24      # Datacamp Limited
212.102.50.0/24      # Datacamp Limited
212.102.52.0/24      # Datacamp Limited
212.102.56.0/24      # Datacamp Limited
212.102.58.0/23      # Datacamp Limited
212.102.60.0/22      # Datacamp Limited

# --- ISP: DataCamp s.r.o. | prefixes: 6 | IPv4 addrs: 5,376 | IPv6 addrs: 0 ---
89.187.166.0/23      # DataCamp s.r.o.
89.187.169.0/24      # DataCamp s.r.o.
89.187.170.0/23      # DataCamp s.r.o.
89.187.172.0/22      # DataCamp s.r.o.
89.187.176.0/22      # DataCamp s.r.o.
89.187.184.0/21      # DataCamp s.r.o.

# --- ISP: Datadelivery s.r.o. | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
185.102.216.0/23     # Datadelivery s.r.o.

# --- ISP: DataPeer s.r.o. | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
185.180.14.0/23      # DataPeer s.r.o.

# --- ISP: DDJ Incorporated | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
198.232.0.0/21       # DDJ Incorporated

# --- ISP: Defense Datacenter SAS | prefixes: 1 | IPv4 addrs: 4,096 | IPv6 addrs: 0 ---
62.73.0.0/20         # Defense Datacenter SAS

# --- ISP: DegNet GmbH | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
80.73.120.0/21       # DegNet GmbH

# --- ISP: DeKalb Regional Healthcare System | prefixes: 1 | IPv4 addrs: 8,192 | IPv6 addrs: 0 ---
206.3.32.0/19        # DeKalb Regional Healthcare System

# --- ISP: Delta One | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
205.143.208.0/21     # Delta One

# --- ISP: Denmark | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
206.232.76.0/22      # Denmark

# --- ISP: DESI IPTV INC | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
23.234.90.0/24       # DESI IPTV INC

# --- ISP: Devansh Enterprises | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
103.90.36.0/23       # Devansh Enterprises

# --- ISP: DGTL TECH UK LLP | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
212.18.104.0/24      # DGTL TECH UK LLP

# --- ISP: DHOST | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
193.233.126.0/24     # DHOST

# --- ISP: DIAMOND IP BROKERS FZCO | prefixes: 3 | IPv4 addrs: 4,352 | IPv6 addrs: 0 ---
151.245.47.0/24      # DIAMOND IP BROKERS FZCO
151.246.16.0/21      # DIAMOND IP BROKERS FZCO
151.246.32.0/21      # DIAMOND IP BROKERS FZCO

# --- ISP: Digital Core Technology Co., Limited | prefixes: 2 | IPv4 addrs: 6,144 | IPv6 addrs: 0 ---
156.252.72.0/21      # Digital Core Technology Co., Limited
156.252.80.0/20      # Digital Core Technology Co., Limited

# --- ISP: Digital Energy Technologies | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
102.165.11.0/24      # Digital Energy Technologies

# --- ISP: Digital Energy Technologies Limited | prefixes: 9 | IPv4 addrs: 2,304 | IPv6 addrs: 0 ---
102.129.231.0/24     # Digital Energy Technologies Limited
102.129.238.0/24     # Digital Energy Technologies Limited
102.129.241.0/24     # Digital Energy Technologies Limited
154.16.1.0/24        # Digital Energy Technologies Limited
154.16.8.0/24        # Digital Energy Technologies Limited
154.16.211.0/24      # Digital Energy Technologies Limited
154.16.227.0/24      # Digital Energy Technologies Limited
154.16.235.0/24      # Digital Energy Technologies Limited
154.16.253.0/24      # Digital Energy Technologies Limited

# --- ISP: Digital Virtualisation Solutions London | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
5.157.216.0/22       # Digital Virtualisation Solutions London

# --- ISP: Digital Virtualisation Solutions Los Angeles | prefixes: 2 | IPv4 addrs: 4,096 | IPv6 addrs: 0 ---
91.245.176.0/21      # Digital Virtualisation Solutions Los Angeles
188.119.168.0/21     # Digital Virtualisation Solutions Los Angeles

# --- ISP: Digital Virtualisation Solutions Tokyo | prefixes: 2 | IPv4 addrs: 768 | IPv6 addrs: 0 ---
109.166.36.0/23      # Digital Virtualisation Solutions Tokyo
109.166.38.0/24      # Digital Virtualisation Solutions Tokyo

# --- ISP: DINGLU CO., LIMITED | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
103.175.128.0/23     # DINGLU CO., LIMITED

# --- ISP: DirectBackup LLC | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
140.235.0.0/22       # DirectBackup LLC

# --- ISP: DME Hosting LLC | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
104.37.56.0/22       # DME Hosting LLC

# --- ISP: DNA Pty Ltd | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
203.20.69.0/24       # DNA Pty Ltd

# --- ISP: Dom Tehniki Ltd | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
46.232.72.0/21       # Dom Tehniki Ltd

# --- ISP: DreamIT Solutions Pty Ltd | prefixes: 2 | IPv4 addrs: 768 | IPv6 addrs: 0 ---
103.146.112.0/23     # DreamIT Solutions Pty Ltd
103.214.21.0/24      # DreamIT Solutions Pty Ltd

# --- ISP: DreamITsolutions Australia | prefixes: 2 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
103.119.109.0/24     # DreamITsolutions Australia
103.119.110.0/24     # DreamITsolutions Australia

# --- ISP: E-Light-Telecom Ltd. | prefixes: 2 | IPv4 addrs: 3,072 | IPv6 addrs: 0 ---
158.46.136.0/21      # E-Light-Telecom Ltd.
158.46.144.0/22      # E-Light-Telecom Ltd.

# --- ISP: East-Coast Internet Provider LLC | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
188.74.148.0/22      # East-Coast Internet Provider LLC

# --- ISP: Eastern Shore Communications, LLC | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
104.254.36.0/22      # Eastern Shore Communications, LLC

# --- ISP: EGIHosting | prefixes: 17 | IPv4 addrs: 5,120 | IPv6 addrs: 0 ---
104.165.31.0/24      # EGIHosting
104.252.12.0/24      # EGIHosting
104.252.18.0/24      # EGIHosting
104.252.58.0/24      # EGIHosting
104.252.119.0/24     # EGIHosting
104.252.130.0/23     # EGIHosting
104.252.136.0/24     # EGIHosting
104.252.165.0/24     # EGIHosting
104.252.166.0/24     # EGIHosting
104.252.168.0/23     # EGIHosting
104.252.170.0/24     # EGIHosting
104.252.202.0/24     # EGIHosting
104.252.204.0/23     # EGIHosting
104.253.0.0/24       # EGIHosting
104.253.106.0/24     # EGIHosting
104.253.132.0/24     # EGIHosting
104.253.139.0/24     # EGIHosting

# --- ISP: EightJoy Network LLC | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
172.87.24.0/21       # EightJoy Network LLC

# --- ISP: ElectriCiti, Inc. | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
204.124.0.0/22       # ElectriCiti, Inc.

# --- ISP: email :ipsupport@sakurafibre.com | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
45.156.52.0/22       # email :ipsupport@sakurafibre.com

# --- ISP: eusidc | prefixes: 2 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
23.234.66.0/24       # eusidc
23.234.113.0/24      # eusidc

# --- ISP: EVERLOUNGE SOLUTIONS INC. | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
103.102.127.0/24     # EVERLOUNGE SOLUTIONS INC.

# --- ISP: Evowise SRL | prefixes: 10 | IPv4 addrs: 10,240 | IPv6 addrs: 0 ---
185.54.24.0/22       # Evowise SRL
185.227.248.0/22     # Evowise SRL
185.242.240.0/22     # Evowise SRL
185.243.196.0/22     # Evowise SRL
185.244.88.0/22      # Evowise SRL
185.246.108.0/22     # Evowise SRL
185.246.136.0/22     # Evowise SRL
185.247.72.0/22      # Evowise SRL
185.248.232.0/22     # Evowise SRL
213.184.80.0/22      # Evowise SRL

# --- ISP: Express Web Studio Limited | prefixes: 3 | IPv4 addrs: 768 | IPv6 addrs: 0 ---
103.192.80.0/24      # Express Web Studio Limited
124.150.139.0/24     # Express Web Studio Limited
202.6.118.0/24       # Express Web Studio Limited

# --- ISP: EXTRAVM | prefixes: 1 | IPv4 addrs: 256 | IPv6 addrs: 0 ---
206.245.167.0/24     # EXTRAVM

# --- ISP: FAIRPOINT COMMUNICATIONS, INC. | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
68.237.128.0/21      # FAIRPOINT COMMUNICATIONS, INC.

# --- ISP: Farahoosh Dena PLC | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
109.203.176.0/21     # Farahoosh Dena PLC

# --- ISP: Fastmos Co Limited | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
154.193.248.0/21     # Fastmos Co Limited

# --- ISP: FASTPLANET LTD | prefixes: 47 | IPv4 addrs: 37,376 | IPv6 addrs: 0 ---
45.43.164.0/23       # FASTPLANET LTD
64.137.10.0/23       # FASTPLANET LTD
64.137.14.0/23       # FASTPLANET LTD
64.137.18.0/23       # FASTPLANET LTD
64.137.42.0/23       # FASTPLANET LTD
64.137.48.0/23       # FASTPLANET LTD
64.137.58.0/23       # FASTPLANET LTD
64.137.60.0/22       # FASTPLANET LTD
64.137.80.0/22       # FASTPLANET LTD
64.137.94.0/23       # FASTPLANET LTD
64.137.100.0/23      # FASTPLANET LTD
104.143.232.0/21     # FASTPLANET LTD
104.143.240.0/22     # FASTPLANET LTD
104.222.190.0/24     # FASTPLANET LTD
104.233.0.0/21       # FASTPLANET LTD
104.233.31.0/24      # FASTPLANET LTD
104.233.32.0/20      # FASTPLANET LTD
104.233.57.0/24      # FASTPLANET LTD
104.233.60.0/23      # FASTPLANET LTD
104.233.62.0/24      # FASTPLANET LTD
104.238.0.0/22       # FASTPLANET LTD
104.238.15.0/24      # FASTPLANET LTD
104.238.16.0/24      # FASTPLANET LTD
104.238.18.0/24      # FASTPLANET LTD
104.238.22.0/24      # FASTPLANET LTD
104.238.25.0/24      # FASTPLANET LTD
104.239.9.0/24       # FASTPLANET LTD
104.239.16.0/21      # FASTPLANET LTD
104.239.24.0/22      # FASTPLANET LTD
104.239.32.0/21      # FASTPLANET LTD
104.239.45.0/24      # FASTPLANET LTD
104.239.46.0/24      # FASTPLANET LTD
104.239.48.0/24      # FASTPLANET LTD
104.239.68.0/22      # FASTPLANET LTD
104.239.90.0/23      # FASTPLANET LTD
104.239.92.0/23      # FASTPLANET LTD
104.239.95.0/24      # FASTPLANET LTD
104.239.99.0/24      # FASTPLANET LTD
104.239.110.0/24     # FASTPLANET LTD
104.249.29.0/24      # FASTPLANET LTD
104.249.32.0/22      # FASTPLANET LTD
104.249.36.0/23      # FASTPLANET LTD
104.249.55.0/24      # FASTPLANET LTD
104.250.192.0/21     # FASTPLANET LTD
104.250.208.0/20     # FASTPLANET LTD
138.128.151.0/24     # FASTPLANET LTD
138.128.153.0/24     # FASTPLANET LTD

# --- ISP: FASTPLANET, LLC. | prefixes: 1 | IPv4 addrs: 1,024 | IPv6 addrs: 0 ---
65.75.204.0/22       # FASTPLANET, LLC.

# --- ISP: FENIX NETWORKS, S.R.L. | prefixes: 1 | IPv4 addrs: 2,048 | IPv6 addrs: 0 ---
38.45.40.0/21        # FENIX NETWORKS, S.R.L.

# --- ISP: Fiberpower LLC | prefixes: 2 | IPv4 addrs: 24,576 | IPv6 addrs: 0 ---
38.15.0.0/19         # Fiberpower LLC
38.248.192.0/18      # Fiberpower LLC

# --- ISP: FINE GROUP SERVERS SOLUTIONS LLC | prefixes: 29 | IPv4 addrs: 17,664 | IPv6 addrs: 0 ---
5.181.170.0/24       # FINE GROUP SERVERS SOLUTIONS LLC
45.66.208.0/24       # FINE GROUP SERVERS SOLUTIONS LLC
45.140.206.0/23      # FINE GROUP SERVERS SOLUTIONS LLC
45.145.128.0/22      # FINE GROUP SERVERS SOLUTIONS LLC
45.148.232.0/22      # FINE GROUP SERVERS SOLUTIONS LLC
45.155.166.0/23      # FINE GROUP SERVERS SOLUTIONS LLC
45.159.23.0/24       # FINE GROUP SERVERS SOLUTIONS LLC
77.220.192.0/22      # FINE GROUP SERVERS SOLUTIONS LLC
83.142.52.0/22       # FINE GROUP SERVERS SOLUTIONS LLC
88.218.44.0/24       # FINE GROUP SERVERS SOLUTIONS LLC
88.218.46.0/24       # FINE GROUP SERVERS SOLUTIONS LLC
91.132.124.0/23      # FINE GROUP SERVERS SOLUTIONS LLC
91.245.236.0/24      # FINE GROUP SERVERS SOLUTIONS LLC
93.177.94.0/23       # FINE GROUP SERVERS SOLUTIONS LLC
178.20.212.0/24      # FINE GROUP SERVERS SOLUTIONS LLC
178.159.99.0/24      # FINE GROUP SERVERS SOLUTIONS LLC
178.159.107.0/24     # FINE GROUP SERVERS SOLUTIONS LLC
185.68.185.0/24      # FINE GROUP SERVERS SOLUTIONS LLC
193.31.127.0/24      # FINE GROUP SERVERS SOLUTIONS LLC
193.56.20.0/24       # FINE GROUP SERVERS SOLUTIONS LLC
193.187.92.0/22      # FINE GROUP SERVERS SOLUTIONS LLC
193.202.8.0/21       # FINE GROUP SERVERS SOLUTIONS LLC
193.202.80.0/21      # FINE GROUP SERVERS SOLUTIONS LLC
193.203.8.0/22       # FINE GROUP SERVERS SOLUTIONS LLC
194.99.25.0/24       # FINE GROUP SERVERS SOLUTIONS LLC
194.99.27.0/24       # FINE GROUP SERVERS SOLUTIONS LLC
212.87.216.0/24      # FINE GROUP SERVERS SOLUTIONS LLC
212.87.218.0/23      # FINE GROUP SERVERS SOLUTIONS LLC
212.119.44.0/22      # FINE GROUP SERVERS SOLUTIONS LLC

# --- ISP: FITZ ISP LTD | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
93.177.118.0/23      # FITZ ISP LTD

# --- ISP: FOP Kameristov Andrey Evgenovuch | prefixes: 1 | IPv4 addrs: 512 | IPv6 addrs: 0 ---
91.218.122.0/23      # FOP Kameristov Andrey Evgenovuch

